x	y	key	tooltip	clickSelects	showSelected1
-0.263149991194429	-0.263149991194429	1	fold 1 featureless=-0.263 rpart=-0.263	1	sin easy 10
-0.281412135577668	-0.281412135577668	2	fold 2 featureless=-0.281 rpart=-0.281	2	sin easy 10
-0.272395847411473	-0.272395847411473	3	fold 3 featureless=-0.272 rpart=-0.272	3	sin easy 10
-0.301669969241905	-0.301669969241905	4	fold 4 featureless=-0.302 rpart=-0.302	4	sin easy 10
-0.304895193677652	-0.304895193677652	5	fold 5 featureless=-0.305 rpart=-0.305	5	sin easy 10
-0.286544441287748	-0.286544441287748	6	fold 6 featureless=-0.287 rpart=-0.287	6	sin easy 10
-0.253645970442366	-0.253645970442366	1	fold 1 featureless=-0.254 rpart=-0.254	1	sin easy 14
-0.3056569488246	-0.3056569488246	2	fold 2 featureless=-0.306 rpart=-0.306	2	sin easy 14
-0.259002064331294	-0.259002064331294	3	fold 3 featureless=-0.259 rpart=-0.259	3	sin easy 14
-0.29614883047987	-0.29614883047987	4	fold 4 featureless=-0.296 rpart=-0.296	4	sin easy 14
-0.303492277688444	-0.303492277688444	5	fold 5 featureless=-0.303 rpart=-0.303	5	sin easy 14
-0.298827773758067	-0.298827773758067	6	fold 6 featureless=-0.299 rpart=-0.299	6	sin easy 14
-0.263367406449034	-0.263367406449034	1	fold 1 featureless=-0.263 rpart=-0.263	1	sin easy 19
-0.297817757657029	-0.297817757657029	2	fold 2 featureless=-0.298 rpart=-0.298	2	sin easy 19
-0.278033877348198	-0.278033877348198	3	fold 3 featureless=-0.278 rpart=-0.278	3	sin easy 19
-0.327831987633613	-0.327831987633613	4	fold 4 featureless=-0.328 rpart=-0.328	4	sin easy 19
-0.304886944745361	-0.304886944745361	5	fold 5 featureless=-0.305 rpart=-0.305	5	sin easy 19
-0.299871087270016	-0.299871087270016	6	fold 6 featureless=-0.300 rpart=-0.300	6	sin easy 19
-0.262351305597745	-0.301403150118009	1	fold 1 featureless=-0.262 rpart=-0.301	1	sin easy 25
-0.285600682352604	-0.332744128741337	2	fold 2 featureless=-0.286 rpart=-0.333	2	sin easy 25
-0.2743734545577	-0.343085460601043	3	fold 3 featureless=-0.274 rpart=-0.343	3	sin easy 25
-0.320839715651816	-0.336274074614933	4	fold 4 featureless=-0.321 rpart=-0.336	4	sin easy 25
-0.284580899224403	-0.294909211982411	5	fold 5 featureless=-0.285 rpart=-0.295	5	sin easy 25
-0.305986266272981	-0.326331850649888	6	fold 6 featureless=-0.306 rpart=-0.326	6	sin easy 25
-0.255216425223227	-0.297690142034745	1	fold 1 featureless=-0.255 rpart=-0.298	1	sin easy 35
-0.290875598175966	-0.357361221299419	2	fold 2 featureless=-0.291 rpart=-0.357	2	sin easy 35
-0.275092155832361	-0.336974817682253	3	fold 3 featureless=-0.275 rpart=-0.337	3	sin easy 35
-0.312515372602577	-0.368942618469573	4	fold 4 featureless=-0.313 rpart=-0.369	4	sin easy 35
-0.279879617968097	-0.442849499534604	5	fold 5 featureless=-0.280 rpart=-0.443	5	sin easy 35
-0.303334893058413	-0.388815373486522	6	fold 6 featureless=-0.303 rpart=-0.389	6	sin easy 35
-0.262533474265033	-0.545144043880264	1	fold 1 featureless=-0.263 rpart=-0.545	1	sin easy 48
-0.305941879635995	-0.598676447850253	2	fold 2 featureless=-0.306 rpart=-0.599	2	sin easy 48
-0.278585581790734	-0.590711490573161	3	fold 3 featureless=-0.279 rpart=-0.591	3	sin easy 48
-0.32864764538106	-0.625349689503292	4	fold 4 featureless=-0.329 rpart=-0.625	4	sin easy 48
-0.295422153611623	-0.620939488309201	5	fold 5 featureless=-0.295 rpart=-0.621	5	sin easy 48
-0.299220692951163	-0.551714339600192	6	fold 6 featureless=-0.299 rpart=-0.552	6	sin easy 48
-0.256619425898816	-0.56638253453649	1	fold 1 featureless=-0.257 rpart=-0.566	1	sin easy 65
-0.305603233388196	-0.601545198728882	2	fold 2 featureless=-0.306 rpart=-0.602	2	sin easy 65
-0.279452498245635	-0.795570862691714	3	fold 3 featureless=-0.279 rpart=-0.796	3	sin easy 65
-0.326904851400021	-0.709251713554138	4	fold 4 featureless=-0.327 rpart=-0.709	4	sin easy 65
-0.301312805902905	-0.911861545400739	5	fold 5 featureless=-0.301 rpart=-0.912	5	sin easy 65
-0.289158807319568	-0.598270447688941	6	fold 6 featureless=-0.289 rpart=-0.598	6	sin easy 65
-0.251223312000492	-0.94895696506106	1	fold 1 featureless=-0.251 rpart=-0.949	1	sin easy 89
-0.303257054780283	-0.889635912562904	2	fold 2 featureless=-0.303 rpart=-0.890	2	sin easy 89
-0.280046917641453	-0.904826319154226	3	fold 3 featureless=-0.280 rpart=-0.905	3	sin easy 89
-0.322719600649517	-0.926242256870578	4	fold 4 featureless=-0.323 rpart=-0.926	4	sin easy 89
-0.298580372656131	-0.909095210691701	5	fold 5 featureless=-0.299 rpart=-0.909	5	sin easy 89
-0.297058801345019	-0.895271321360154	6	fold 6 featureless=-0.297 rpart=-0.895	6	sin easy 89
-0.251320013099531	-1.07095499116094	1	fold 1 featureless=-0.251 rpart=-1.071	1	sin easy 121
-0.300984760094589	-1.03637174112739	2	fold 2 featureless=-0.301 rpart=-1.036	2	sin easy 121
-0.279904204490199	-1.0681725639496	3	fold 3 featureless=-0.280 rpart=-1.068	3	sin easy 121
-0.322050788477823	-0.993434610750245	4	fold 4 featureless=-0.322 rpart=-0.993	4	sin easy 121
-0.300736417429112	-1.01709717374906	5	fold 5 featureless=-0.301 rpart=-1.017	5	sin easy 121
-0.295719688539905	-0.950800097354679	6	fold 6 featureless=-0.296 rpart=-0.951	6	sin easy 121
-0.249640417103692	-1.32193673026358	1	fold 1 featureless=-0.250 rpart=-1.322	1	sin easy 165
-0.296644603477655	-1.20402184422457	2	fold 2 featureless=-0.297 rpart=-1.204	2	sin easy 165
-0.279682243716429	-1.11615807109594	3	fold 3 featureless=-0.280 rpart=-1.116	3	sin easy 165
-0.318660432410436	-1.05761709124726	4	fold 4 featureless=-0.319 rpart=-1.058	4	sin easy 165
-0.298786552840027	-1.08626112808493	5	fold 5 featureless=-0.299 rpart=-1.086	5	sin easy 165
-0.298772270379544	-1.14844799633395	6	fold 6 featureless=-0.299 rpart=-1.148	6	sin easy 165
-0.250143592502292	-1.35189833796928	1	fold 1 featureless=-0.250 rpart=-1.352	1	sin easy 226
-0.298992206235589	-1.30408158049007	2	fold 2 featureless=-0.299 rpart=-1.304	2	sin easy 226
-0.280019544344123	-1.18683663159039	3	fold 3 featureless=-0.280 rpart=-1.187	3	sin easy 226
-0.325371528898035	-1.24401901764208	4	fold 4 featureless=-0.325 rpart=-1.244	4	sin easy 226
-0.304638782261637	-1.16900099954607	5	fold 5 featureless=-0.305 rpart=-1.169	5	sin easy 226
-0.294055329939037	-1.207614283655	6	fold 6 featureless=-0.294 rpart=-1.208	6	sin easy 226
-0.257826302750699	-1.35067314687939	1	fold 1 featureless=-0.258 rpart=-1.351	1	sin easy 308
-0.301893110347717	-1.26784505195212	2	fold 2 featureless=-0.302 rpart=-1.268	2	sin easy 308
-0.279810655021778	-1.27712752959277	3	fold 3 featureless=-0.280 rpart=-1.277	3	sin easy 308
-0.325156810868404	-1.18637556065412	4	fold 4 featureless=-0.325 rpart=-1.186	4	sin easy 308
-0.303315538705175	-1.19437666260385	5	fold 5 featureless=-0.303 rpart=-1.194	5	sin easy 308
-0.300551842801267	-1.25360792361514	6	fold 6 featureless=-0.301 rpart=-1.254	6	sin easy 308
-0.256187025846997	-1.32210466790861	1	fold 1 featureless=-0.256 rpart=-1.322	1	sin easy 421
